season,training_matches,matches,accuracy,log_loss,bets,profit_units,roi
2021,1140,380,0.5079,1.0646,115,-10.75,-0.0935
2122,1520,380,0.5763,0.9522,55,4.72,0.0858
2223,1900,380,0.5368,0.9823,42,-4.61,-0.1098
2324,1900,380,0.6026,0.8956,36,14.98,0.4161
2425,1900,380,0.5368,0.9828,48,9.17,0.191
2526,1900,359,0.4986,1.0257,75,20.68,0.2757
