season,training_matches,matches,accuracy,log_loss,bets,profit_units,roi
2021,2280,760,0.5658,0.6832,17,-1.07,-0.0629
2122,3040,760,0.5671,0.6847,3,-3,-1.0
2223,3800,760,0.5776,0.6811,4,-4,-1.0
2324,3800,760,0.6118,0.6639,0,0,0.0
2425,3800,760,0.5961,0.669,1,1.11,1.11
2526,3800,709,0.5656,0.6819,2,-0.17,-0.085
